Territorio;Periodo;Provenienza;Arrivi Hotel;Arrivi Altro;Arrivi Totali
Belluno;2014-06;Italia;19817.0;14999.0;34816.0
Belluno;2014-06;Paesi esteri;19142.0;7328.0;26470.0
Belluno;2014-07;Italia;41133.0;38679.0;79812.0
Belluno;2014-07;Paesi esteri;27947.0;19144.0;47091.0
Belluno;2014-08;Italia;56647.0;64573.0;121220.0
Belluno;2014-08;Paesi esteri;21729.0;19697.0;41426.0
Belluno;2014-09;Italia;19119.0;16817.0;35936.0
Belluno;2014-09;Paesi esteri;18842.0;9563.0;28405.0
Belluno;2014-10;Italia;9405.0;4591.0;13996.0
Belluno;2014-10;Paesi esteri;5780.0;1506.0;7286.0
Belluno;2014-11;Italia;7628.0;3033.0;10661.0
Belluno;2014-11;Paesi esteri;1825.0;455.0;2280.0
Belluno;2014-12;Italia;34459.0;22743.0;57202.0
Belluno;2014-12;Paesi esteri;11130.0;3564.0;14694.0
Belluno;2015-01;Italia;35620.0;15030.0;50650.0
Belluno;2015-01;Paesi esteri;20090.0;9666.0;29756.0
Belluno;2015-02;Italia;37258.0;15665.0;52923.0
Belluno;2015-02;Paesi esteri;25588.0;11847.0;37435.0
Belluno;2015-03;Italia;25976.0;8761.0;34737.0
Belluno;2015-03;Paesi esteri;17556.0;6236.0;23792.0
Belluno;2015-04;Italia;10542.0;7996.0;18538.0
Belluno;2015-04;Paesi esteri;4416.0;1453.0;5869.0
Belluno;2015-05;Italia;10707.0;7169.0;17876.0
Belluno;2015-05;Paesi esteri;7891.0;2387.0;10278.0
Belluno;2015-06;Italia;19252.0;16740.0;35992.0
Belluno;2015-06;Paesi esteri;20888.0;8171.0;29059.0
Belluno;2015-07;Italia;51407.0;48102.0;99509.0
Belluno;2015-07;Paesi esteri;32725.0;23677.0;56402.0
Belluno;2015-08;Italia;70702.0;73867.0;144569.0
Belluno;2015-08;Paesi esteri;25501.0;24079.0;49580.0
Belluno;2015-09;Italia;21621.0;18308.0;39929.0
Belluno;2015-09;Paesi esteri;21754.0;11111.0;32865.0
Belluno;2015-10;Italia;9615.0;4330.0;13945.0
Belluno;2015-10;Paesi esteri;5078.0;1407.0;6485.0
Belluno;2015-11;Italia;7458.0;2996.0;10454.0
Belluno;2015-11;Paesi esteri;1847.0;580.0;2427.0
Belluno;2015-12;Italia;35927.0;21981.0;57908.0
Belluno;2015-12;Paesi esteri;10064.0;3246.0;13310.0
Belluno;2016-01;Italia;37306.0;15666.0;52972.0
Belluno;2016-01;Mondo;59023.0;25422.0;84445.0
Belluno;2016-01;Paesi esteri;21717.0;9756.0;31473.0
Belluno;2016-02;Italia;36518.0;16281.0;52799.0
Belluno;2016-02;Mondo;64583.0;29140.0;93723.0
Belluno;2016-02;Paesi esteri;28065.0;12859.0;40924.0
Belluno;2016-03;Italia;36850.0;11938.0;48788.0
Belluno;2016-03;Mondo;58386.0;20116.0;78502.0
Belluno;2016-03;Paesi esteri;21536.0;8178.0;29714.0
Belluno;2016-04;Italia;9184.0;7687.0;16871.0
Belluno;2016-04;Mondo;12775.0;9099.0;21874.0
Belluno;2016-04;Paesi esteri;3591.0;1412.0;5003.0
Belluno;2016-05;Italia;9144.0;5756.0;14900.0
Belluno;2016-05;Mondo;19636.0;9774.0;29410.0
Belluno;2016-05;Paesi esteri;10492.0;4018.0;14510.0
Belluno;2016-06;Italia;21304.0;15742.0;37046.0
Belluno;2016-06;Mondo;43104.0;25399.0;68503.0
Belluno;2016-06;Paesi esteri;21800.0;9657.0;31457.0
Belluno;2016-07;Italia;52771.0;49951.0;102722.0
Belluno;2016-07;Mondo;89523.0;78782.0;168305.0
Belluno;2016-07;Paesi esteri;36752.0;28831.0;65583.0
Belluno;2016-08;Italia;71083.0;73415.0;144498.0
Belluno;2016-08;Mondo;97924.0;102842.0;200766.0
Belluno;2016-08;Paesi esteri;26841.0;29427.0;56268.0
Belluno;2016-09;Italia;26218.0;20442.0;46660.0
Belluno;2016-09;Mondo;51366.0;35872.0;87238.0
Belluno;2016-09;Paesi esteri;25148.0;15430.0;40578.0
Belluno;2016-10;Italia;11012.0;6069.0;17081.0
Belluno;2016-10;Mondo;17524.0;8644.0;26168.0
Belluno;2016-10;Paesi esteri;6512.0;2575.0;9087.0
Belluno;2016-11;Italia;8206.0;3412.0;11618.0
Belluno;2016-11;Mondo;10295.0;4192.0;14487.0
Belluno;2016-11;Paesi esteri;2089.0;780.0;2869.0
Belluno;2016-12;Italia;34643.0;22205.0;56848.0
Belluno;2016-12;Mondo;44550.0;26302.0;70852.0
Belluno;2016-12;Paesi esteri;9907.0;4097.0;14004.0
Belluno;2017-01;Italia;35381.0;14186.0;49567.0
Belluno;2017-01;Mondo;55740.0;23477.0;79217.0
Belluno;2017-01;Paesi esteri;20359.0;9291.0;29650.0
Belluno;2017-02;Italia;35258.0;14645.0;49903.0
Belluno;2017-02;Mondo;63313.0;28377.0;91690.0
Belluno;2017-02;Paesi esteri;28055.0;13732.0;41787.0
Belluno;2017-03;Italia;28320.0;9929.0;38249.0
Belluno;2017-03;Mondo;48742.0;18356.0;67098.0
Belluno;2017-03;Paesi esteri;20422.0;8427.0;28849.0
Belluno;2017-04;Italia;12517.0;8850.0;21367.0
Belluno;2017-04;Mondo;16913.0;11241.0;28154.0
Belluno;2017-04;Paesi esteri;4396.0;2391.0;6787.0
Belluno;2017-05;Italia;9441.0;4912.0;14353.0
Belluno;2017-05;Mondo;19621.0;8922.0;28543.0
Belluno;2017-05;Paesi esteri;10180.0;4010.0;14190.0
Belluno;2017-06;Italia;28812.0;19380.0;48192.0
Belluno;2017-06;Mondo;56644.0;33184.0;89828.0
Belluno;2017-06;Paesi esteri;27832.0;13804.0;41636.0
Belluno;2017-07;Italia;58186.0;48529.0;106715.0
Belluno;2017-07;Mondo;97163.0;82113.0;179276.0
Belluno;2017-07;Paesi esteri;38977.0;33584.0;72561.0
Belluno;2017-08;Italia;76379.0;64842.0;141221.0
Belluno;2017-08;Mondo;105435.0;97416.0;202851.0
Belluno;2017-08;Paesi esteri;29056.0;32574.0;61630.0
Belluno;2017-09;Italia;24948.0;13292.0;38240.0
Belluno;2017-09;Mondo;49964.0;27507.0;77471.0
Belluno;2017-09;Paesi esteri;25016.0;14215.0;39231.0
Belluno;2017-10;Italia;11236.0;4789.0;16025.0
Belluno;2017-10;Mondo;19184.0;8004.0;27188.0
Belluno;2017-10;Paesi esteri;7948.0;3215.0;11163.0
Belluno;2017-11;Italia;8150.0;3169.0;11319.0
Belluno;2017-11;Mondo;10125.0;3803.0;13928.0
Belluno;2017-11;Paesi esteri;1975.0;634.0;2609.0
Belluno;2017-12;Italia;45720.0;23950.0;69670.0
Belluno;2017-12;Mondo;58551.0;28559.0;87110.0
Belluno;2017-12;Paesi esteri;12831.0;4609.0;17440.0
Belluno;2018-01;Italia;40177.0;13375.0;53552.0
Belluno;2018-01;Mondo;64031.0;23305.0;87336.0
Belluno;2018-01;Paesi esteri;23854.0;9930.0;33784.0
Belluno;2018-02;Italia;37810.0;13735.0;51545.0
Belluno;2018-02;Mondo;69574.0;27888.0;97462.0
Belluno;2018-02;Paesi esteri;31764.0;14153.0;45917.0
Belluno;2018-03;Italia;28899.0;10243.0;39142.0
Belluno;2018-03;Mondo;53591.0;19697.0;73288.0
Belluno;2018-03;Paesi esteri;24692.0;9454.0;34146.0
Belluno;2018-04;Italia;11226.0;6987.0;18213.0
Belluno;2018-04;Mondo;16456.0;8978.0;25434.0
Belluno;2018-04;Paesi esteri;5230.0;1991.0;7221.0
Belluno;2018-05;Italia;9134.0;4467.0;13601.0
Belluno;2018-05;Mondo;22330.0;9646.0;31976.0
Belluno;2018-05;Paesi esteri;13196.0;5179.0;18375.0
Belluno;2018-06;Italia;29585.0;21335.0;50920.0
Belluno;2018-06;Mondo;62391.0;36682.0;99073.0
Belluno;2018-06;Paesi esteri;32806.0;15347.0;48153.0
Belluno;2018-07;Italia;50546.0;43862.0;94408.0
Belluno;2018-07;Mondo;92128.0;80042.0;172170.0
Belluno;2018-07;Paesi esteri;41582.0;36180.0;77762.0
Belluno;2018-08;Italia;70055.0;60330.0;130385.0
Belluno;2018-08;Mondo;100794.0;94621.0;195415.0
Belluno;2018-08;Paesi esteri;30739.0;34291.0;65030.0
Belluno;2018-09;Italia;26597.0;16762.0;43359.0
Belluno;2018-09;Mondo;56704.0;35138.0;91842.0
Belluno;2018-09;Paesi esteri;30107.0;18376.0;48483.0
Belluno;2018-10;Italia;11853.0;4705.0;16558.0
Belluno;2018-10;Mondo;21332.0;8170.0;29502.0
Belluno;2018-10;Paesi esteri;9479.0;3465.0;12944.0
Belluno;2018-11;Italia;9398.0;3218.0;12616.0
Belluno;2018-11;Mondo;11825.0;3830.0;15655.0
Belluno;2018-11;Paesi esteri;2427.0;612.0;3039.0
Belluno;2018-12;Italia;38671.0;20491.0;59162.0
Belluno;2018-12;Mondo;52210.0;25634.0;77844.0
Belluno;2018-12;Paesi esteri;13539.0;5143.0;18682.0
Belluno;2019-01;Italia;32272.0;11632.0;43904.0
Belluno;2019-01;Mondo;55421.0;20885.0;76306.0
Belluno;2019-01;Paesi esteri;23149.0;9253.0;32402.0
Belluno;2019-02;Italia;34928.0;11747.0;46675.0
Belluno;2019-02;Mondo;66434.0;24856.0;91290.0
Belluno;2019-02;Paesi esteri;31506.0;13109.0;44615.0
Belluno;2019-03;Italia;30082.0;11431.0;41513.0
Belluno;2019-03;Mondo;54643.0;20658.0;75301.0
Belluno;2019-03;Paesi esteri;24561.0;9227.0;33788.0
Belluno;2019-04;Italia;10370.0;6421.0;16791.0
Belluno;2019-04;Mondo;15683.0;9012.0;24695.0
Belluno;2019-04;Paesi esteri;5313.0;2591.0;7904.0
Belluno;2019-05;Italia;8852.0;4157.0;13009.0
Belluno;2019-05;Mondo;20067.0;8871.0;28938.0
Belluno;2019-05;Paesi esteri;11215.0;4714.0;15929.0
Belluno;2019-06;Italia;29009.0;21221.0;50230.0
Belluno;2019-06;Mondo;66347.0;42322.0;108669.0
Belluno;2019-06;Paesi esteri;37338.0;21101.0;58439.0
Belluno;2019-07;Italia;51164.0;42214.0;93378.0
Belluno;2019-07;Mondo;98629.0;82204.0;180833.0
Belluno;2019-07;Paesi esteri;47465.0;39990.0;87455.0
Belluno;2019-08;Italia;73268.0;59495.0;132763.0
Belluno;2019-08;Mondo;108755.0;95379.0;204134.0
Belluno;2019-08;Paesi esteri;35487.0;35884.0;71371.0
Belluno;2019-09;Italia;25984.0;15628.0;41612.0
Belluno;2019-09;Mondo;60708.0;37291.0;97999.0
Belluno;2019-09;Paesi esteri;34724.0;21663.0;56387.0
Belluno;2019-10;Italia;13102.0;6068.0;19170.0
Belluno;2019-10;Mondo;26741.0;11233.0;37974.0
Belluno;2019-10;Paesi esteri;13639.0;5165.0;18804.0
Belluno;2019-11;Italia;10827.0;4674.0;15501.0
Belluno;2019-11;Mondo;13748.0;5537.0;19285.0
Belluno;2019-11;Paesi esteri;2921.0;863.0;3784.0
Belluno;2019-12;Italia;40278.0;20821.0;61099.0
Belluno;2019-12;Mondo;56069.0;26768.0;82837.0
Belluno;2019-12;Paesi esteri;15791.0;5947.0;21738.0
Belluno;2020-01;Italia;39746.0;14907.0;54653.0
Belluno;2020-01;Mondo;65689.0;24802.0;90491.0
Belluno;2020-01;Paesi esteri;25943.0;9895.0;35838.0
Belluno;2020-02;Italia;38620.0;15587.0;54207.0
Belluno;2020-02;Mondo;75102.0;31683.0;106785.0
